PIV,Time,Charging,N_active
BEV,0,5951,58891
BEV,1,4243,58891
BEV,2,2740,58891
BEV,3,1756,58891
BEV,4,1134,58891
BEV,5,730,58891
BEV,6,467,58891
BEV,7,454,58891
BEV,8,602,58891
BEV,9,972,58891
BEV,10,1389,58891
BEV,11,1480,58891
BEV,12,1622,58891
BEV,13,1811,58891
BEV,14,1933,58891
BEV,15,2006,58891
BEV,16,2654,58891
BEV,17,3757,58891
BEV,18,5659,58891
BEV,19,7102,58891
BEV,20,7692,58891
BEV,21,7882,58891
BEV,22,7950,58891
BEV,23,7306,58891
PHEV,0,2074,46634
PHEV,1,779,46634
PHEV,2,241,46634
PHEV,3,68,46634
PHEV,4,30,46634
PHEV,5,13,46634
PHEV,6,17,46634
PHEV,7,55,46634
PHEV,8,179,46634
PHEV,9,716,46634
PHEV,10,928,46634
PHEV,11,1244,46634
PHEV,12,1715,46634
PHEV,13,2162,46634
PHEV,14,2429,46634
PHEV,15,2479,46634
PHEV,16,3406,46634
PHEV,17,4822,46634
PHEV,18,7204,46634
PHEV,19,8130,46634
PHEV,20,7233,46634
PHEV,21,5343,46634
PHEV,22,4198,46634
PHEV,23,3350,46634
