DateTime,Charging,Not_charging,Month,Day,Time,N_active,PIV,Large_battery
2017-07-04 00:00:00,0,0,7,1,0,0,BEV,0
2017-07-04 01:00:00,0,0,7,1,1,0,BEV,0
2017-07-04 02:00:00,0,0,7,1,2,0,BEV,0
2017-07-04 03:00:00,0,0,7,1,3,0,BEV,0
2017-07-04 04:00:00,0,0,7,1,4,0,BEV,0
2017-07-04 05:00:00,0,0,7,1,5,0,BEV,0
2017-07-04 06:00:00,0,0,7,1,6,0,BEV,0
2017-07-04 07:00:00,0,0,7,1,7,0,BEV,0
2017-07-04 08:00:00,0,0,7,1,8,0,BEV,0
2017-07-04 09:00:00,0,0,7,1,9,0,BEV,0
2017-07-04 10:00:00,0,0,7,1,10,0,BEV,0
2017-07-04 11:00:00,0,0,7,1,11,0,BEV,0
2017-07-04 12:00:00,0,0,7,1,12,0,BEV,0
2017-07-04 13:00:00,1,0,7,1,13,1,BEV,0
2017-07-04 14:00:00,1,0,7,1,14,1,BEV,0
2017-07-04 15:00:00,1,0,7,1,15,1,BEV,0
2017-07-04 16:00:00,1,0,7,1,16,1,BEV,0
2017-07-04 17:00:00,0,1,7,1,17,1,BEV,0
2017-07-04 18:00:00,0,1,7,1,18,1,BEV,0
2017-07-04 19:00:00,0,1,7,1,19,1,BEV,0
2017-07-04 20:00:00,0,1,7,1,20,1,BEV,0
2017-07-04 21:00:00,0,1,7,1,21,1,BEV,0
2017-07-04 22:00:00,0,1,7,1,22,1,BEV,0
2017-07-04 23:00:00,0,1,7,1,23,1,BEV,0
2017-07-05 00:00:00,0,1,7,2,0,1,BEV,0
2017-07-05 01:00:00,0,1,7,2,1,1,BEV,0
2017-07-05 02:00:00,0,1,7,2,2,1,BEV,0
2017-07-05 03:00:00,0,1,7,2,3,1,BEV,0
2017-07-05 04:00:00,0,1,7,2,4,1,BEV,0
2017-07-05 05:00:00,0,1,7,2,5,1,BEV,0
2017-07-05 06:00:00,0,1,7,2,6,1,BEV,0
2017-07-05 07:00:00,0,1,7,2,7,1,BEV,0
2017-07-05 08:00:00,0,1,7,2,8,1,BEV,0
2017-07-05 09:00:00,0,1,7,2,9,1,BEV,0
2017-07-05 10:00:00,0,1,7,2,10,1,BEV,0
2017-07-05 11:00:00,0,1,7,2,11,1,BEV,0
2017-07-05 12:00:00,0,1,7,2,12,1,BEV,0
2017-07-05 13:00:00,0,1,7,2,13,1,BEV,0
2017-07-05 14:00:00,0,1,7,2,14,1,BEV,0
2017-07-05 15:00:00,0,1,7,2,15,1,BEV,0
2017-07-05 16:00:00,0,1,7,2,16,1,BEV,0
2017-07-05 17:00:00,0,1,7,2,17,1,BEV,0
2017-07-05 18:00:00,0,1,7,2,18,1,BEV,0
2017-07-05 19:00:00,0,1,7,2,19,1,BEV,0
2017-07-05 20:00:00,1,1,7,2,20,2,BEV,0
2017-07-05 21:00:00,1,1,7,2,21,2,BEV,0
2017-07-05 22:00:00,1,1,7,2,22,2,BEV,0
2017-07-05 23:00:00,1,1,7,2,23,2,BEV,0
2017-07-06 00:00:00,0,2,7,3,0,2,BEV,0
2017-07-06 01:00:00,0,2,7,3,1,2,BEV,0
2017-07-06 02:00:00,0,2,7,3,2,2,BEV,0
2017-07-06 03:00:00,0,2,7,3,3,2,BEV,0
2017-07-06 04:00:00,0,2,7,3,4,2,BEV,0
2017-07-06 05:00:00,0,2,7,3,5,2,BEV,0
2017-07-06 06:00:00,0,2,7,3,6,2,BEV,0
2017-07-06 07:00:00,0,2,7,3,7,2,BEV,0
2017-07-06 08:00:00,0,2,7,3,8,2,BEV,0
2017-07-06 09:00:00,0,2,7,3,9,2,BEV,0
2017-07-06 10:00:00,0,2,7,3,10,2,BEV,0
2017-07-06 11:00:00,0,2,7,3,11,2,BEV,0
2017-07-06 12:00:00,0,2,7,3,12,2,BEV,0
2017-07-06 13:00:00,0,2,7,3,13,2,BEV,0
2017-07-06 14:00:00,0,2,7,3,14,2,BEV,0
2017-07-06 15:00:00,0,2,7,3,15,2,BEV,0
2017-07-06 16:00:00,0,2,7,3,16,2,BEV,0
2017-07-06 17:00:00,0,2,7,3,17,2,BEV,0
